ad_id,image,title,description,plz,district,posted_at
1601182510,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Zj8AAOSw7tNf1N3H/$_2.JPG,Kleiderschrank,"Kleiderschrank eigentlich super nur eine Schublade ist leicht defekt

Maße gerne auf Anfrage",10365,Lichtenberg,"Heute, 16:13"
1601182364,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ulAAAOSwdytf1N0j/$_2.JPG,Papierware Schreibwaren,"Ordner
2 x Post it notes
Visitenkartenetui

Tier und Rauchfreier Haushalt",10365,Lichtenberg,"Heute, 16:12"
1601182159,,Räucherstäbchenhalter aus Holz mit Metall Intarsien,Räucherstäbchenhalte​r fürs Abbrennen von Räucherstäbchen,10365,Lichtenberg,"Heute, 16:12"
1601181707,https://i.ebayimg.com/00/s/MTI5MFg3OTU=/z/EzAAAOSwcmVf1N0O/$_2.JPG,Bar/Tresen weiß zu verschenken,"Weiße Bar zu verschenken.

Kleine Gebrauchsspuren auf der Oberfläche vorhanden und beim Abbau...",10365,Lichtenberg,"Heute, 16:12"
1601181086,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/WRsAAOSwUk5f1N2M/$_2.JPG,Katzen Puzzel 1000pcs,Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:12"
1601180969,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/AeIAAOSw4h1f1Nzm/$_2.JPG,Glas Tisch (rund) + 2 Drehstühle zu verschenken,"Verschenke runden Tisch + 2 Drehstühle. Tischplatte: Glas
Fuss: Metall

Maße Tisch
Höhe...",10365,Lichtenberg,"Heute, 16:11"
1601180888,https://i.ebayimg.com/00/s/MTA2N1gxNjAw/z/BzwAAOSwPYNf1N2A/$_2.JPG,"Cable box (jacks, cinch, midi)","I'm giving this box of cables away.

Contact me if interested.",10365,Lichtenberg,"Heute, 16:11"
1601180846,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/a5MAAOSw1lBf1N2P/$_2.JPG,Kinderschreibtisch,"Ich verschenke einen Kinderschreibtisch in blau, er ist Höhenverstellbar, kippbare Tischplatte und...",10365,Lichtenberg,"Heute, 16:11"
1601180372,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/xx8AAOSwHTlf1N0u/$_2.JPG,Wandspiegel,"Wandspiegel
Maße H×B 140cm × 50cm
Abgabe OHNE Katze!!!
Mit Aufhängevorrichtung

Untere linke Ecke...",10365,Lichtenberg,"Heute, 16:11"
1601180343,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/K8wAAOSwIFBf1N3D/$_2.JPG,Spieltisch,"Gebrauchter spieltisch. Funktioniert in 2 verschiedenen Lautstärken. Kann man auch umdrehen, aber...",10365,Lichtenberg,"Heute, 16:11"
1601179313,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/zdcAAOSwk8pf1N1D/$_2.JPG,Kartenspiel - Am arsch vorbei geht auch ein Weg,Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:10"
1601179015,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lKkAAOSwbdNf1N2Z/$_2.JPG,Platzsparender Wäscheständer zu verschenken,"Platzsparender Wäscheständer, ein wenig wacklig, aber voll funktionsfähig.",10365,Lichtenberg,"Heute, 16:10"
1601178833,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/fiAAAOSwOMxf1N1R/$_2.JPG,Teutonia Kinderwagen Pixxel,"Kinderwagen mit Regenschutz, Softtragetasche, Buggy.
Vollständig und voll...",10365,Lichtenberg,"Heute, 16:10"
1601178555,https://i.ebayimg.com/00/s/OTAwWDE2MDA=/z/SZ4AAOSwNTZf1N1K/$_2.JPG,Vintage Telefonablage Metall,Geht natürlich auch für einen WLAN Router oder heutiges Telefon.,10365,Lichtenberg,"Heute, 16:10"
1601177988,https://i.ebayimg.com/00/s/MTYwMFg3NTg=/z/JGMAAOSwJWhf1N0c/$_2.JPG,Klebe Folien selbst klebend,Abholung Hellersdorf,10365,Lichtenberg,"Heute, 16:09"
1601177792,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/zHQAAOSwuihf1N0R/$_2.JPG,Eden - Stanislaw Lem (polnisch),Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:09"
1601176935,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/jJ8AAOSwN35f1Ny8/$_2.JPG,Töpfchen für Kinder,"Gebe dieses Töpfchen ab, da es nur rum steht. Es ist sauber und in Ordnung.
Bitte die anderen...",10365,Lichtenberg,"Heute, 16:09"
1601176438,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lwkAAOSw2mhf1Nzi/$_2.JPG,Atlas Shrugged - Ayn Rand (englisch),Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:08"
1601176048,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/1cwAAOSw7OVf1Nzm/$_2.JPG,Umzugskartons Bananenkiste,"Habe zwei Umzugskartons und einen Bananenkiste abzugeben

Lg Raphael",10365,Lichtenberg,"Heute, 16:08"
1601175584,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/xCMAAOSwdstf1NyF/$_2.JPG,IKEA SKRIN Metallkiste 56x39x26 cm ZU VERSCHENKEN,"Leider ist der Deckel verbogen [und müsste mal mehr gesäubert werden, als nur mit einem nassen...",10365,Lichtenberg,"Heute, 16:08"
1601175405,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/FcgAAOSwVztf1Nx0/$_2.JPG,Bastelsachen,"Bastelsachen.

Tier und rauchfreier Haushalt",10365,Lichtenberg,"Heute, 16:08"
1601175450,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/KXYAAOSwq7hf1Nye/$_2.JPG,Slade House David Mitchell (englisch),Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:07"
1601175225,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/J6QAAOSwiVRf1Nxu/$_2.JPG,DJI Mavic Air Verpackungen,Abholung nähe S Wahrschauer Straße!,10365,Lichtenberg,"Heute, 16:07"
1601174081,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/trAAAOSwLaVf1NrS/$_2.JPG,Küche zu mir Kühlschrank,"Kleine Küche mit Kühlschrank und Hängeschrank zu verschenken
Die Arbeitsplatte hat rechts einen...",10365,Lichtenberg,"Heute, 16:07"
1601173757,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/s2EAAOSwTu9f1NxW/$_2.JPG,Rattenhaltung Buch,Kein Versand. Abholung Nähe U Grenzallee.,10365,Lichtenberg,"Heute, 16:06"
