ad_id,image,title,description,plz,district,posted_at
1595732222,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/hYIAAOSwBj9fzROQ/$_2.JPG,Kühlschrank mit Gefrier,"Kühlschrank Von Libher Als Defekt Zum Verschenken
Was Defekt ist genau wisse ich nicht Motor ist ok...",10407,Prenzlauer Berg,"Heute, 18:23"
1595731091,https://i.ebayimg.com/00/s/NjU4WDY2OA==/z/JfsAAOSwGbFfzRMn/$_2.JPG,Für den Musiker zu verschenken,"Das hüpsche Teil zu verschenken

Abholen o versenden",10407,Prenzlauer Berg,"Heute, 18:22"
1595730967,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/I0MAAOSwt2dfzRM4/$_2.JPG,alter Sessel mit Relaxfuntion,"leider mit starken Gebrauchsspuren, aber noch absolut funktionstüchtig.",10407,Prenzlauer Berg,"Heute, 18:22"
1595730074,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/grYAAOSwjXtfzRMq/$_2.JPG,"Couch, Sofa mit Schlaffunktion und Ottomane","Hallo, wir wollen unsere Couch verschenken. Sie hat schon ein paar Gebrauchsspuren und ist ein...",10407,Prenzlauer Berg,"Heute, 18:22"
1595728641,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/qe0AAOSwNkRfzRKf/$_2.JPG,Einfaches Regal,Regal zu verschenken,10407,Prenzlauer Berg,"Heute, 18:20"
1595728559,https://i.ebayimg.com/00/s/MTYwMFg5MDA=/z/mAUAAOSwQHVfzRJk/$_2.JPG,Defekte Nähmaschine Veritas Modell 8014/40,"Verschenke o. g. defekte Nähmaschine zur Ersatzteilgewinnung.​ Fußpedal + Tragetasche,...",10407,Prenzlauer Berg,"Heute, 18:20"
ad_id,image,title,description,plz,district,posted_at
1595154820,https://i.ebayimg.com/00/s/NDAzWDc1MA==/z/H18AAOSwuihfzMb2/$_2.JPG,Ankauf von Katalysator DPF mit Barzahlung & Abholung,"Konkurrenz nicht melden ich mach immer Anzeige online
⬇️⬇️⬇️⬇️

Hallo guten Tag Willkommen auf...",10315,Lichtenberg,
1593565631,https://i.ebayimg.com/00/s/MTQ4OVgxNjAw/z/i5sAAOSw5ulfyqrv/$_2.PNG,Lateinnachhilfe | Latinum | Unterricht | Online | Skype | Zoom,Ich bin Doktorand an einer Berliner Universität und habe Latein und Erziehungswissenscha​ften in...,10315,Lichtenberg,
1595760154,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/ux8AAOSwgmBfzRXp/$_2.JPG,Runder Esstisch zu verschenken,"Runder Esstisch an Selbstabholer zu verschenken.

Der Tisch ist aus den 70er Jahren, ausziehbar,...",10315,Lichtenberg,"Heute, 18:43"
1595759573,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/HE8AAOSwuklfzRgZ/$_2.JPG,Kleines Stativ,"Wenig gebraucht, wie neu",10315,Lichtenberg,"Heute, 18:43"
1595759263,https://i.ebayimg.com/00/s/NzgxWDExMjc=/z/OdYAAOSwIqlfzRf7/$_2.JPG,Deutschland Germany Trikot t Shirt gr 140,Abholung in Berlin Mitte,10315,Lichtenberg,"Heute, 18:43"
1595758691,https://i.ebayimg.com/00/s/NzIxWDE2MDA=/z/bGMAAOSwqHNfzRgb/$_2.JPG,"Schrankwand, Wohnzimmerschrank, Bestehend aus zwei Schränken","Schrankwand, Wohnzimmerschrank, Bestehend aus zwei Schränken. Auch einzeln abzugeben.",10315,Lichtenberg,"Heute, 18:42"
1595758180,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/Qd4AAOSwwiFfzRc2/$_2.JPG,Kontaktlinsen Bausch& Lomb,Hier Kontaktlinsen abzugeben da ich sie nicht mehr Vertrage.Mein Kater würde sich über ein paar...,10315,Lichtenberg,"Heute, 18:42"
1595757956,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/lsIAAOSwKcZfzRet/$_2.JPG,Rotfilter Kamera,Passt z. B. auf Canon A1,10315,Lichtenberg,"Heute, 18:42"
1595756992,https://i.ebayimg.com/00/s/MTMzNFg3NTA=/z/GFAAAOSw3L9fzRe~/$_2.JPG,Kallax 2x4,Hey wer Interesse hat kann das für wenig Geld abholen :)) in Berlin Spandau. Hat keine Macken steht...,10315,Lichtenberg,"Heute, 18:41"
1595756807,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/p1EAAOSw6odfzRdE/$_2.JPG,Musikanlage zu verschenken,"Verschenke eine kleine Musikanlage an Selbstabholer! Radio funktioniert, CD habe ich nicht...",10315,Lichtenberg,"Heute, 18:41"
